Altium Designer Pick and Place Locations
C:\Applications\hardware\pca10184\trunk\production_files\400861_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       10.02.26
Time:       09:31
Revision:   41237
Variant:    pca10184 - Main
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LD3","L0603G","TopLayer","LED_0603_G","119.2000","44.4004","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LD4","L0603G","TopLayer","LED_0603_G","125.5000","44.4004","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"Q6","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","117.1000","44.4004","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW, -55°C ~ 150°C"
"Q7","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","123.4000","44.4004","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW, -55°C ~ 150°C"
"R27","220R","TopLayer","RESC0603X03L_C","121.0000","44.4004","0","Resistor, ±1%, 0.05W"
"R28","220R","TopLayer","RESC0603X03L_C","127.3000","44.4004","0","Resistor, ±1%, 0.05W"
"R29","1M0","TopLayer","RESC0603X03L_C","122.4000","48.1004","270","Resistor, ±1%, 0.05W"
"R30","1M0","TopLayer","RESC0603X03L_C","116.1000","44.4004","270","Resistor, ±1%, 0.05W"
"R31","1M0","TopLayer","RESC0603X03L_C","122.4000","44.4004","270","Resistor, ±1%, 0.05W"
"R32","1M0","TopLayer","RESC0603X03L_C","116.1000","48.1004","270","Resistor, ±1%, 0.05W"
"U7","TMUX1511","TopLayer","XQFN40P180X260X50-16N","34.8697","22.1674","0","Low-Capacitance, 1:1 (SPST) 4-Channel, analog switch"
"U6","TMUX1511","TopLayer","XQFN40P180X260X50-16N","34.8697","17.1465","0","Low-Capacitance, 1:1 (SPST) 4-Channel, analog switch"
"U5","TMUX1511","TopLayer","XQFN40P180X260X50-16N","34.8697","12.0058","0","Low-Capacitance, 1:1 (SPST) 4-Channel, analog switch"
"R42","0R","TopLayer","RESC1005X04L","37.3351","48.3934","0","Resistor, ±5%, 0.063W"
"R41","1M0","TopLayer","RESC0603X03L_C","17.3052","31.1514","270","Resistor, ±1%, 0.05W"
"R40","100k","TopLayer","RESC0603X03L_C","32.9562","23.0524","270","Resistor, ±1%, 0.05W"
"R39","100k","TopLayer","RESC0603X03L_C","17.6007","28.9037","270","Resistor, ±1%, 0.05W"
"R38","100k","TopLayer","RESC0603X03L_C","32.9562","18.0315","270","Resistor, ±1%, 0.05W"
"R37","100k","TopLayer","RESC0603X03L_C","34.7942","19.6595","270","Resistor, ±1%, 0.05W"
"R36","100k","TopLayer","RESC0603X03L_C","32.9562","12.8908","270","Resistor, ±1%, 0.05W"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","127.5842","15.8500","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","117.3226","15.8500","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","117.3226","6.3504","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW4","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","127.5842","6.3504","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SB25","Solderbridge","TopLayer","Solderbridge","12.3500","11.0504","180","Solderbridge"
"R18","4k7","TopLayer","RESC0603X03L_C","17.2000","52.2004","90","Resistor, ±1%, 0.05W"
"R17","47k","TopLayer","RESC0603X03L_C","16.4000","52.2004","90","Resistor, ±1%, 0.05W"
"U4","MX25R6435F","TopLayer","SON127P600X80_HS-9N","100.0035","29.4876","180","Ultra low power, 64M-bit, serial multi I/O flash memory"
"SB24","Solderbridge","TopLayer","Solderbridge","96.8909","23.7377","0","Solderbridge"
"SB22","Solderbridge","TopLayer","Solderbridge","12.3500","12.5504","0","Solderbridge"
"SB4","Solderbridge","TopLayer","Solderbridge","122.7723","24.3002","270","Solderbridge"
"SB3","Solderbridge","TopLayer","Solderbridge","124.1723","24.3002","270","Solderbridge"
"R35","100k","TopLayer","RESC0603X03L_C","15.7600","13.3413","0","Resistor, ±1%, 0.05W"
"R33","0R","TopLayer","RESC1005X04L","142.4000","53.3004","90","Resistor, ±5%, 0.063W"
"R34","0R","TopLayer","RESC1005X04L","141.4000","53.3004","90","Resistor, ±5%, 0.063W"
"C58","100nF","TopLayer","CAPC0603X03L_C","97.5185","26.3640","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C56","300pF","TopLayer","CAPC1005X04L","142.9000","54.7004","0","Capacitor, C0G, ±5%, 50V"
"C57","300pF","TopLayer","CAPC1005X04L","140.9000","54.7004","0","Capacitor, C0G, ±5%, 50V"
"TP28","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","140.3757","51.8846","90","1.5mm circular SMD testpad"
"TP27","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","10.2260","23.1155","90","1.5mm circular SMD testpad"
"TP25","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","10.2362","26.1155","90","1.5mm circular SMD testpad"
"TP23","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","10.2362","41.3530","90","1.5mm circular SMD testpad"
"TP22","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","10.2362","38.3530","90","1.5mm circular SMD testpad"
"TP21","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","13.2588","38.8454","90","1.5mm circular SMD testpad"
"TP20","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.1696","49.2002","180","1.5mm circular SMD testpad"
"TP19","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","9.2456","31.7504","180","1.5mm circular SMD testpad"
"TP18","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","45.4914","13.0560","180","1.5mm circular SMD testpad"
"TP17","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","116.1164","25.3023","0","1.5mm circular SMD testpad"
"TP16","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","11.7094","48.9208","180","1.5mm circular SMD testpad"
"TP14","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","4.0117","52.2854","90","1.5mm circular SMD testpad"
"TP10","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","26.6162","4.1152","90","1.5mm circular SMD testpad"
"TP9","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","20.6162","4.1152","180","1.5mm circular SMD testpad"
"TP8","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","23.6162","4.1152","180","1.5mm circular SMD testpad"
"TP7","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","29.6162","4.1152","180","1.5mm circular SMD testpad"
"TP6","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","22.0726","54.8136","180","1.5mm circular SMD testpad"
"TP5","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","14.5288","54.3056","180","1.5mm circular SMD testpad"
"TP4","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","23.3680","58.0394","180","1.5mm circular SMD testpad"
"R15","10R","TopLayer","RESC1005X04L","32.2867","52.7093","180","Resistor, ±1%, 0.063W"
"R10","100k","TopLayer","RESC0603X03L_C","17.5000","12.7004","90","Resistor, ±1%, 0.05W"
"R9","100k","TopLayer","RESC0603X03L_C","16.8000","12.9004","90","Resistor, ±1%, 0.05W"
"R16","0R","TopLayer","RESC1005X04L","12.1000","53.1004","90","Resistor, ±5%, 0.063W"
"C38","4.7µF","TopLayer","CAPC1005X04L_C2","12.9683","53.1004","90","Capacitor, X5R, ±20%, 10V"
"SB17","Solderbridge","TopLayer","Solderbridge","10.6500","51.5504","0","Solderbridge"
"X1","32MHz","TopLayer","BT-XTAL_2016","130.6807","30.7708","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tot: ±40ppm"
"X2","32.768kHz","TopLayer","XTAL_2012","124.1533","28.0744","0","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm"
"R2","200R","TopLayer","RESC0603X03L_C","125.8743","37.8512","270","Resistor, ±1%, 0.05W"
"R1","2R2","TopLayer","RESC1608X06L","123.5064","38.3985","90","RES 2.2 OHM 1% 1/10W 0603"
"P14","Pin List 1x3","TopLayer","LIST_1x3_SMD","34.2933","59.6964","0","Pin List 1x3, 2.54mm (100mil), SMD"
"L4","3.3nH","TopLayer","INDC0603X03L_C","132.1338","33.6939","0","Inductor, 500mA, ±0.1nH, 170mOhm"
"L3","4.7nH","TopLayer","INDC0603X03L_C","130.5053","33.7002","0","Inductor, 400mA, ±3%, 250mOhm"
"L2","3.6nH","TopLayer","INDC0603X03L_C","128.8722","33.7019","0","Inductor, 500mA, ±0.1nH, 170mOhm"
"L1","4.7µH","TopLayer","INDC1608X06L","126.5861","30.4484","270","Inductor, 120mA, ±20%, 0.65R"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","134.8371","33.7122","90","Coaxial Connector with Switch"
"FB1","120R/0.2A","TopLayer","INDC0603X03L_C","125.0874","29.8643","90","Ferrite Bead, 120 Ohm @ 100MHz, 200mA, 500 mOhm Max"
"C12","1.5pF","TopLayer","CAPC0603X03L_C","131.3199","33.9759","90","Capacitor, NP0, ±0.05pF, 25V, High Q"
"C3","1.2pF","TopLayer","CAPC0603X03L_C","129.6882","33.9759","270","Capacitor, NP0, ±0.05pF, 50V"
"C76","1.0pF","TopLayer","CAPC0603X03L_C","136.7729","34.4866","270","RF Chip Cap 0201"
"C11","4.7µF","TopLayer","CAPC1005X04L","124.5685","37.6012","270","Capacitor, X5R, 10V"
"C10","2.2µF","TopLayer","CAPC0603X03L_C","125.2743","37.8512","270","Capacitor, Ceramic, 2.2µF 10V X5R 0201,±10%"
"C7","2.2µF","TopLayer","CAPC0603X03L_C","124.5287","29.8642","90","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"C6","4.7µF","TopLayer","CAPC0603X03L_C","125.4939","31.3120","0","Capacitor, Ceramic, X5R, ±20%, 6.3V"
"C5","100nF","TopLayer","CAPC0603X03L_C","124.0461","31.4136","180","Capacitor, X7R, ±10%, 10V"
"C4","10µF","TopLayer","CAPC1005X04L","127.5521","30.7020","90","Capacitor, X6S, ±20%, 6.3V"
"C2","100nF","TopLayer","CAPC0603X03L_C","122.6743","34.7512","90","Capacitor, X7R, ±10%, 10V"
"C1","100nF","TopLayer","CAPC0603X03L_C","128.9027","34.8772","0","Capacitor, X7R, ±10%, 10V"
"C28","100nF","TopLayer","CAPC0603X03L_C","13.6870","27.3103","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C27","4.7µF","TopLayer","CAPC1608X06L","13.2970","28.1215","180","Capacitor, X7S, ±10%, 10V"
"C42","1.0nF","TopLayer","CAPC0603X03L_C","24.5121","48.3474","180","Capacitor, X7R, ±10%, 25V"
"C43","1.0nF","TopLayer","CAPC0603X03L_C","24.5121","47.5474","180","Capacitor, X7R, ±10%, 25V"
"X3","32MHz","TopLayer","BT-XTAL_2016","26.1750","23.5298","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C54","100nF","TopLayer","CAPC0603X03L_C","19.2750","51.8504","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C34","4.7µF","TopLayer","CAPC1005X04L_C2","11.5500","47.0005","0","Capacitor, X5R, ±20%, 10V"
"C35","100nF","TopLayer","CAPC0603X03L_C","11.5500","46.3254","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C36","4.7µF","TopLayer","CAPC1005X04L_C2","13.7250","47.2005","0","Capacitor, X5R, ±20%, 10V"
"C37","100nF","TopLayer","CAPC0603X03L_C","13.7500","47.8989","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C39","1.0µF","TopLayer","CAPC1005X04L","13.7314","45.4754","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C50","10µF","TopLayer","CAPC1608X06L","19.6250","42.7516","90","Capacitor, Ceramic, X5R, ±20%, 10V"
"C51","10µF","TopLayer","CAPC1608X06L","17.2250","42.7516","90","Capacitor, Ceramic, X5R, ±20%, 10V"
"C52","10µF","TopLayer","CAPC1608X06L","20.8250","42.7516","90","Capacitor, Ceramic, X5R, ±20%, 10V"
"C55","4.7µF","TopLayer","CAPC1608X06L","8.3500","51.0004","90","Capacitor, X5R, ±10%, 25V"
"C63","100nF","TopLayer","CAPC0603X03L_C","10.7250","44.2750","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C64","1.0µF","TopLayer","CAPC1005X04L","10.2000","41.8004","180","Capacitor, Ceramic, X5R, ±10%, 16V"
"C66","100nF","TopLayer","CAPC0603X03L_C","11.2000","42.5204","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C65","10nF","TopLayer","CAPC0603X03L_C","11.2000","43.1004","180","Capacitor, X7R, ±10%, 10nF, 10V"
"C69","100nF","TopLayer","CAPC0603X03L_C","11.0000","29.4004","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C70","1.0µF","TopLayer","CAPC1005X04L","10.1953","26.5683","180","Capacitor, Ceramic, X5R, ±10%, 16V"
"C72","100nF","TopLayer","CAPC0603X03L_C","10.1388","25.9266","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C71","10nF","TopLayer","CAPC0603X03L_C","10.1388","25.4203","180","Capacitor, X7R, ±10%, 10nF, 10V"
"C67","10nF","TopLayer","CAPC1005X04L","2.2558","33.3280","270","Capacitor, X7R, ±10%"
"C68","10nF","TopLayer","CAPC1005X04L","3.1700","33.3280","270","Capacitor, X7R, ±10%"
"C74","10nF","TopLayer","CAPC1005X04L","3.1700","30.1754","90","Capacitor, X7R, ±10%"
"C73","10nF","TopLayer","CAPC1005X04L","2.2558","30.1754","90","Capacitor, X7R, ±10%"
"FB5","120R/100MHz","TopLayer","INDC1005X04L_C2","14.9823","28.5236","90","Ferrite Bead, 120 Ohm @ 100MHz, 1200mA, 75 mOhm Max"
"FB3","120R/3A","TopLayer","INDC1608X06L","9.6347","43.4718","90","Ferrite Bead, 120 Ohm @ 100MHz, 3000mA, 30 mOhm Max"
"FB4","120R/3A","TopLayer","INDC1608X06L","9.7874","28.2410","90","Ferrite Bead, 120 Ohm @ 100MHz, 3000mA, 30 mOhm Max"
"J3","USB-C 2.0","TopLayer","SD-80259-001","5.1000","39.3704","270","USB-C Receptacle, 16 Pin, USB 2.0"
"J4","USB-C 2.0","TopLayer","SD-80259-001","5.1000","24.1342","270","USB-C Receptacle, 16 Pin, USB 2.0"
"LD5","L0603G","TopLayer","LED_0603_G","25.8000","10.6504","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"Q1","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","23.7715","10.6504","0","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW, -55°C ~ 150°C"
"Q2","MCM2301-TP","TopLayer","DFN65P200X200X80_HS-6N","6.2197","49.4111","90","Dual P-Channel MOFET, 3.8A, 90mOhm max, 1.4W"
"Q3","MCM2301-TP","TopLayer","DFN65P200X200X80_HS-6N","2.6697","49.4111","90","Dual P-Channel MOFET, 3.8A, 90mOhm max, 1.4W"
"R14","0R","TopLayer","RESC1005X04L","13.7250","46.3254","0","Resistor, ±5%, 0.063W"
"R20","1M0","TopLayer","RESC0603X03L_C","5.5697","47.1061","270","Resistor, ±1%, 0.05W"
"R21","10k","TopLayer","RESC0603X03L_C","6.2450","47.1061","270","Resistor, ±1%, 0.05W"
"R22","10k","TopLayer","RESC0603X03L_C","2.6750","47.1061","90","Resistor, ±1%, 0.05W"
"R23","100k","TopLayer","RESC0603X03L_C","3.3197","47.1061","270","Resistor, ±1%, 0.05W"
"R24","1M0","TopLayer","RESC0603X03L_C","2.0197","47.1061","270","Resistor, ±1%, 0.05W"
"R45","5k1","TopLayer","RESC0603X03L_C","10.1500","37.5504","180","Resistor, ±1%, 0.05W"
"R46","5k1","TopLayer","RESC0603X03L_C","10.1500","36.9704","180","Resistor, ±1%, 0.05W"
"SW5","Switch","TopLayer","JS102011JAQN","4.7000","57.9004","270","SMD slide Switch (ON-ON)"
"C40","10µF","TopLayer","CAPC1608X06L","23.3271","46.6724","90","Capacitor, X7T, ±20%, 10V"
"C41","10µF","TopLayer","CAPC1608X06L","23.3271","49.2224","270","Capacitor, X7T, ±20%, 10V"
"C44","10µF","TopLayer","CAPC1608X06L","13.6000","48.7254","0","Capacitor, X7T, ±20%, 10V"
"C45","10µF","TopLayer","CAPC1608X06L","13.6000","49.8504","0","Capacitor, X7T, ±20%, 10V"
"C46","10µF","TopLayer","CAPC1608X06L","22.6500","44.7504","180","Capacitor, X7T, ±20%, 10V"
"C47","100nF","TopLayer","CAPC0603X03L_C","26.1629","47.5474","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C48","10µF","TopLayer","CAPC1608X06L","23.3271","51.9597","90","Capacitor, X7T, ±20%, 10V"
"C49","100nF","TopLayer","CAPC0603X03L_C","26.1672","48.3416","0","Capacitor, X5R, ±10%, 100nF, 16V"
"L7","2.2µH","TopLayer","INDC2016X10N","25.6121","46.0474","180","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"L6","2.2µH","TopLayer","INDC2016X10N","25.1250","50.3254","270","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"U3","nPM1300-QEAA","TopLayer","Nordic_QFN50P500X500X90-33N","19.0250","48.2254","180","Li-Ion/Li-Polymer USB-C battery charger with high efficiency buck regulators, LDOs or load switches, LED drivers, TWI and VBUSOUT"
"R8","47R","TopLayer","RESC0603X03L_C","23.8500","20.6754","0","Resistor, ±1%, 0.05W"
"C23","100nF","TopLayer","CAPC0603X03L_C","23.7000","22.3254","270","Capacitor, X5R, ±10%, 100nF, 16V"
"C24","100nF","TopLayer","CAPC0603X03L_C","23.9531","24.0908","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C17","100nF","TopLayer","CAPC0603X03L_C","18.0468","14.8004","270","Capacitor, X5R, ±10%, 100nF, 16V"
"C16","100nF","TopLayer","CAPC0603X03L_C","15.3500","14.8004","270","Capacitor, X5R, ±10%, 100nF, 16V"
"C29","4.7µF","TopLayer","CAPC1608X06L","15.1000","25.8004","90","Capacitor, X7S, ±10%, 10V"
"C18","1.0µF","TopLayer","CAPC1005X04L","20.3250","25.5504","90","Capacitor, X5R, ±10%, 6.3V"
"C32","1.0µF","TopLayer","CAPC1005X04L","18.2500","24.7804","0","Capacitor, X5R, ±10%, 6.3V"
"C77","100nF","TopLayer","CAPC0603X03L_C","14.3500","22.7754","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C20","2.2nF","TopLayer","CAPC0603X03L_C","24.2500","22.3254","90","Capacitor, X7R, ±10%, 10V"
"C31","100nF","TopLayer","CAPC0603X03L_C","21.0690","23.9754","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C19","1.0µF","TopLayer","CAPC1005X04L","22.5750","24.7254","0","Capacitor, X5R, ±10%, 6.3V"
"C26","2.2µF","TopLayer","CAPC1608X06L","13.0500","20.4426","90","Capacitor, X7R, ±10%, 2.2µF, 6.3V"
"C25","1.0µF","TopLayer","CAPC1005X04L","18.6476","25.6304","0","Capacitor, X5R, ±10%, 6.3V"
"C30","4.7µF","TopLayer","CAPC1608X06L","16.2000","25.8004","90","Capacitor, X7R, ±10%, 6.3V"
"C15","100nF","TopLayer","CAPC0603X03L_C","13.0536","18.8539","180","Capacitor, X5R, ±10%, 100nF, 16V"
"C22","100nF","TopLayer","CAPC0603X03L_C","23.8576","20.0668","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C21","100nF","TopLayer","CAPC0603X03L_C","20.8500","14.8004","270","Capacitor, X5R, ±10%, 100nF, 16V"
"R11","2R2","TopLayer","RESC1608X06L","13.9720","25.8004","270","RES 2.2 OHM 1% 1/10W 0603"
"U2","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","19.0500","19.6754","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"R5","560R","TopLayer","RESC0603X03L_C","27.7176","10.6504","0","Resistor, ±1%, 0.05W"
"R7","100k","TopLayer","RESC0603X03L_C","23.8500","18.2754","0","Resistor, ±1%, 0.05W"
"P13","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","15.8270","3.8254","0","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P11","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","120.2471","58.7259","0","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"TP24","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","13.2588","23.5716","90","1.5mm circular SMD testpad"
"TP26","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","143.3758","51.8846","90","1.5mm circular SMD testpad"
"H1","MountingHole_NPTH","TopLayer","MountingHole_3.2_M3","12.6000","58.5004","0","Mounting hole, 3.2mm, M3, no annular"
